date,delay,distance,origin,destination
01011423,0,289,Aarhus,Hamburg Hbf
01012152,5,259,Hamburg-Altona,Berlin Südkreuz
01010757,0,455,Aarhus,Berlin Ostbahnhof
01011810,0,635,Koebenhavn H,Praha hl.n.
01011810,20,621,Koebenhavn H,Amsterdam Centraal
01011810,0,968,Koebenhavn H,Basel SBB
01011745,0,289,Koebenhavn H,Hamburg Hbf
01011728,5,289,Hamburg Hbf,Koebenhavn H
01011545,0,289,Koebenhavn H,Hamburg Hbf
01011528,0,289,Hamburg Hbf,Koebenhavn H
01011145,0,289,Koebenhavn H,Hamburg Hbf
01010945,0,289,Koebenhavn H,Hamburg Hbf
01010928,0,289,Hamburg Hbf,Koebenhavn H
01010745,0,358,Koebenhavn H,Berlin Ostbahnhof
01011951,15,151,Leipzig Hbf,Berlin Gesundbrunnen
01010751,5,100,Leipzig Hbf,Dresden Hbf
01011953,5,100,Dresden Hbf,Leipzig Hbf
01011829,0,259,Praha hl.n.,Erfurt Hbf
01011829,0,527,Praha hl.n.,Zürich HB
01012020,0,690,Paris Est,München Hbf
01012020,0,881,Paris Est,Berlin Südkreuz
01012353,0,152,Köln Hbf,Frankfurt(Main)Hbf
01012255,0,152,Köln Hbf,Frankfurt(Main)Hbf
01012104,5,214,Amsterdam Centraal,Köln Hbf
01012031,0,614,Amsterdam Centraal,Zürich HB
01012031,0,667,Amsterdam Centraal,München Hbf
01011253,25,459,Flensburg,Köln Hbf
01011032,0,122,Münster(Westf)Hbf,Köln Hbf
01011901,0,621,Amsterdam Centraal,Koebenhavn H
01011901,0,710,Amsterdam Centraal,Praha hl.n.
01011913,0,250,Köln Hbf,Hannover Hbf
01011758,0,438,Paris Nord,Essen Hbf
01011842,0,401,Köln Hbf,Paris Nord
01011601,5,401,Paris Nord,Köln Hbf
01011642,0,401,Köln Hbf,Paris Nord
01011201,0,401,Paris Nord,Köln Hbf
01011243,0,401,Köln Hbf,Paris Nord
01010801,0,401,Paris Nord,Köln Hbf
01010844,5,401,Köln Hbf,Paris Nord
01010601,0,401,Paris Nord,Köln Hbf
01010512,0,438,Essen Hbf,Paris Nord
01011420,0,426,Luxembourg,Emden Hbf
01012025,0,480,Bonn Hbf,Berlin Ostbahnhof
01012112,0,614,Hamburg-Altona,München Ost
01011953,0,474,Düsseldorf Hbf,Berlin Hbf (tief)
01011948,0,475,Köln Hbf,Berlin Hbf (tief)
01011848,0,479,Köln Hbf,Berlin Ostbahnhof
01011812,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01011753,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01011748,0,479,Köln Hbf,Berlin Ostbahnhof
01011639,0,473,Köln Hbf,Berlin Südkreuz
01011648,0,479,Köln Hbf,Berlin Ostbahnhof
01011612,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01011548,0,479,Köln Hbf,Berlin Ostbahnhof
01011553,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01011425,0,480,Bonn Hbf,Berlin Ostbahnhof
01011453,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01011348,5,479,Köln Hbf,Berlin Ostbahnhof
01011312,5,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01011205,0,502,Mönchengladbach Hbf,Berlin Ostbahnhof
01011248,0,479,Köln Hbf,Berlin Ostbahnhof
01011153,30,478,Düsseldorf Hbf,Berlin Ostbahnhof
01011148,30,479,Köln Hbf,Berlin Ostbahnhof
01011045,0,473,Köln Hbf,Berlin Südkreuz
01011053,0,478,Düsseldorf Hbf,Berlin Ostbahnhof
01011048,0,479,Köln Hbf,Berlin Ostbahnhof
01010948,0,479,Köln Hbf,Berlin Ostbahnhof
01010928,0,479,Köln Hbf,Berlin Ostbahnhof
01011140,0,250,Hannover Hbf,Köln Hbf
01010848,0,479,Köln Hbf,Berlin Ostbahnhof
01010828,0,479,Köln Hbf,Berlin Ostbahnhof
01011121,0,251,Hannover Hbf,Berlin Ostbahnhof
01010748,0,479,Köln Hbf,Berlin Ostbahnhof
01010712,0,471,Köln/Bonn Flughafen,Berlin Ostbahnhof
01010804,0,366,Osnabrück Hbf,Berlin Ostbahnhof
01010529,0,479,Köln Hbf,Berlin Ostbahnhof
01010731,0,251,Hannover Hbf,Berlin Ostbahnhof
01012011,5,749,Hamburg-Altona,Paris Est
01012011,0,694,Hamburg-Altona,Zürich HB
01011754,15,298,Norddeich Mole,Köln Hbf
01011346,0,298,Köln Hbf,Norddeich Mole
01011607,0,267,Emden Außenhafen,Köln Hbf
01010820,0,453,Luxembourg,Norddeich Mole
01011354,0,365,Norddeich Mole,Koblenz Hbf
01010946,0,267,Köln Hbf,Emden Außenhafen
01011136,35,453,Norddeich Mole,Luxembourg
01010953,0,453,Norddeich Mole,Luxembourg
01011914,0,131,Hamburg-Altona,Hannover Hbf
01011714,0,131,Hamburg-Altona,Hannover Hbf
01012232,0,393,Hamburg-Altona,Frankfurt(Main)Hbf
01012032,0,354,Hamburg-Altona,Köln Hbf
01011726,0,354,Köln Hbf,Hamburg-Altona
01011838,60,432,Kiel Hbf,Köln Hbf
01011629,220,354,Köln Hbf,Hamburg-Altona
01011832,40,391,Hamburg-Altona,Koblenz Hbf
01011539,0,450,Köln Hbf,Westerland(Sylt)
01011650,0,440,Lübeck Hbf,Frankfurt(Main)Hbf
01011439,0,354,Köln Hbf,Hamburg-Altona
01011339,0,354,Köln Hbf,Hamburg-Altona
01010713,0,444,Koblenz Hbf,Lübeck Hbf
01010609,0,432,Köln Hbf,Kiel Hbf
01010510,0,354,Köln Hbf,Hamburg-Altona
01011853,0,312,Dresden Hbf,Hannover Hbf
01011935,0,256,Oldenburg(Oldb),Magdeburg Hbf
01011840,20,381,Leipzig Hbf,Köln Hbf
01011623,0,443,Dresden Hbf,Oldenburg(Oldb)
01011513,0,381,Köln Hbf,Leipzig Hbf
01011640,0,381,Leipzig Hbf,Köln Hbf
01011535,0,347,Oldenburg(Oldb),Leipzig Hbf
01011423,0,443,Dresden Hbf,Oldenburg(Oldb)
01011313,0,381,Köln Hbf,Leipzig Hbf
01011440,0,381,Leipzig Hbf,Köln Hbf
01011113,20,381,Köln Hbf,Leipzig Hbf
01011240,0,381,Leipzig Hbf,Köln Hbf
01011135,0,347,Oldenburg(Oldb),Leipzig Hbf
01011140,0,347,Leipzig Hbf,Oldenburg(Oldb)
01010913,0,381,Köln Hbf,Leipzig Hbf
01011040,0,381,Leipzig Hbf,Köln Hbf
01010935,0,443,Oldenburg(Oldb),Dresden Hbf
01010940,0,347,Leipzig Hbf,Oldenburg(Oldb)
01010809,0,310,Bremen Hbf,Leipzig Hbf
01010535,0,443,Oldenburg(Oldb),Dresden Hbf
01011850,5,338,Schiphol (Airport),Hannover Hbf
01011650,0,584,Schiphol (Airport),Berlin Hbf
01011450,0,588,Schiphol (Airport),Berlin Ostbahnhof
01011250,0,588,Schiphol (Airport),Berlin Ostbahnhof
01011050,0,588,Schiphol (Airport),Berlin Ostbahnhof
01010850,0,588,Schiphol (Airport),Berlin Ostbahnhof
01011044,0,163,Bad Bentheim,Schiphol (Airport)
01011612,0,418,Leipzig Hbf,Emden Hbf
01011340,0,435,Leipzig Hbf,Norddeich Mole
01011537,0,435,Norddeich Mole,Leipzig Hbf
01010700,0,328,Magdeburg Hbf,Emden Außenhafen
01011940,0,259,Hamburg-Altona,Berlin Südkreuz
01011927,0,308,Stralsund Hbf,Hannover Hbf
01011527,0,374,Stralsund Hbf,Göttingen
01011458,0,494,Rostock Hbf,Köln Hbf
01010944,0,218,Hamburg Hbf,Stralsund Hbf
01010606,0,608,Koblenz Hbf,Ostseebad Binz
01011727,0,558,Stralsund Hbf,Nürnberg Hbf
01011947,10,404,Hamburg-Altona,Wiesbaden Hbf
01011753,0,373,Dresden Hbf,Frankfurt(Main)Hbf
01011526,0,296,Leipzig Hbf,Frankfurt(Main)Hbf
01011541,0,296,Leipzig Hbf,Frankfurt(Main)Hbf
01011101,0,263,Hannover Hbf,Frankfurt(Main)Hbf
01010206,0,341,Fulda,Praha hl.n.
01011156,0,534,Westerland(Sylt),Frankfurt(Main)Hbf
01011741,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01011537,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01011023,0,380,Dresden Hbf,Frankfurt(M) Flughafen
01010942,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01010747,0,303,Leipzig Hbf,Frankfurt(M) Flughafen
01011632,50,393,Hamburg-Altona,Frankfurt(Main)Hbf
01011834,0,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01011825,0,317,Bruxelles-Midi,Frankfurt(Main)Hbf
01011634,20,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01011819,0,152,Köln Hbf,Frankfurt(Main)Hbf
01011811,10,314,Frankfurt(M) Flughafen,Magdeburg Hbf
01011425,0,317,Bruxelles-Midi,Frankfurt(Main)Hbf
01011234,0,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01011611,0,380,Frankfurt(M) Flughafen,Dresden Hbf
01010932,0,393,Hamburg-Altona,Frankfurt(Main)Hbf
01011419,0,152,Köln Hbf,Frankfurt(Main)Hbf
01011034,10,364,Amsterdam Centraal,Frankfurt(Main)Hbf
01011411,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01010732,15,393,Hamburg-Altona,Frankfurt(Main)Hbf
01011025,0,317,Bruxelles-Midi,Frankfurt(Main)Hbf
01011211,0,380,Frankfurt(M) Flughafen,Dresden Hbf
01011011,0,303,Frankfurt(M) Flughafen,Leipzig Hbf
01010320,0,152,Köln Hbf,Frankfurt(Main)Hbf
01011310,0,566,Budapest-Keleti pu,München Hbf
01010850,10,455,München Hbf,Köln Hbf
01010816,0,612,München Hbf,Hamburg-Altona
01010731,0,305,München Hbf,Verona Porta Nuova
01010727,0,566,München Hbf,Budapest-Keleti pu
01010716,0,612,München Hbf,Hamburg-Altona
01010650,0,477,München Hbf,Dortmund Hbf
01010614,0,612,München Hbf,Hamburg-Altona
01011643,40,268,Klagenfurt Hbf,München Hbf
01010827,0,268,München Hbf,Klagenfurt Hbf
01011742,10,507,Berlin Gesundbrunnen,München Hbf
01011816,0,241,Zürich HB,München Hbf
01011833,0,241,München Hbf,Zürich HB
01011633,0,241,München Hbf,Zürich HB
01011316,0,241,Zürich HB,München Hbf
01011233,0,241,München Hbf,Zürich HB
01010916,0,241,Zürich HB,München Hbf
01010926,0,115,Oberstdorf,Augsburg Hbf
01010716,0,241,Zürich HB,München Hbf
01010717,0,241,München Hbf,Zürich HB
01012247,5,690,München Hbf,Paris Est
01012247,5,667,München Hbf,Amsterdam Centraal
01012150,5,614,München Ost,Hamburg-Altona
01012150,10,505,München Ost,Berlin-Lichtenberg
01011647,0,612,Hamburg-Altona,München Hbf
01011714,0,583,Bremen Hbf,München Hbf
01011543,0,507,Berlin Gesundbrunnen,München Hbf
01011447,15,612,Hamburg-Altona,München Hbf
01011514,15,583,Bremen Hbf,München Hbf
01011940,0,149,München Hbf,Nürnberg Hbf
01011344,0,507,Berlin Gesundbrunnen,München Hbf
01011854,20,612,München Hbf,Hamburg-Altona
01011247,0,612,Hamburg-Altona,München Hbf
01011314,0,583,Bremen Hbf,München Hbf
01011742,0,507,München Hbf,Berlin Gesundbrunnen
01011144,0,507,Berlin Gesundbrunnen,München Hbf
01011705,0,612,München Hbf,Hamburg-Altona
01011114,0,583,Bremen Hbf,München Hbf
01011047,0,612,Hamburg-Altona,München Hbf
01011539,0,507,München Hbf,Berlin Gesundbrunnen
01010944,0,507,Berlin Gesundbrunnen,München Hbf
01011449,5,507,München Hbf,Berlin Gesundbrunnen
01010831,0,507,Berlin Gesundbrunnen,München Hbf
01010752,0,504,Berlin Hbf (tief),München Hbf
01011356,0,115,Augsburg Hbf,Oberstdorf
01011319,0,612,München Hbf,Hamburg-Altona
01011239,0,612,München Hbf,Hamburg-Altona
01011239,0,583,München Hbf,Bremen Hbf
01010641,0,612,Hamburg-Altona,München Hbf
01011119,0,672,München Hbf,Warnemünde
01011047,0,583,München Hbf,Bremen Hbf
01011047,0,612,München Hbf,Hamburg-Altona
01010440,0,612,Hamburg-Altona,München Hbf
01010919,0,507,München Hbf,Berlin Gesundbrunnen
01010905,0,612,München Hbf,Hamburg-Altona
01010905,0,583,München Hbf,Bremen Hbf
01010710,0,507,München Hbf,Berlin Gesundbrunnen
01010654,0,612,München Hbf,Hamburg-Altona
01010654,0,583,München Hbf,Bremen Hbf
01011327,0,611,Hamburg Hbf,München Hbf
01011552,0,612,München Hbf,Hamburg-Altona
